x1,4_7_20_8_40000_15000,4_7_24_8_40000_15000,4_7_28_8_40000_15000,4_7_32_8_40000_15000,4_7_36_8_40000_15000,4_7_40_8_40000_15000
path_benchmark_false_false_false_false_false_true_false_false_none,0.0536,0.0562,0.0587,0.0683,0.0641,0.0695
path_benchmark_false_false_false_false_false_true_true_false_large,0.00751,0.0103,0.00836,0.00887,0.0102,0.00866
path_benchmark_false_false_false_false_false_true_true_false_small,0.0329,0.0379,0.0502,0.0364,0.0462,0.0355
path_benchmark_false_false_false_false_false_true_true_true_large,0.0101,0.00937,0.0107,0.0102,0.0146,0.012
path_benchmark_false_false_false_false_false_true_true_true_small,0.0345,0.0378,0.057,0.0483,0.0445,0.0393
path_benchmark_false_false_true_true_false_false_false_false_none,0.00733,0.00783,,,,
path_ours_false_false_false_false_false_true_false_false_none,0.0517,0.043,0.0444,0.0779,0.0842,0.0756
path_ours_false_false_false_false_false_true_true_false_large,0.00863,0.00973,0.00709,0.00771,0.0121,0.00974
path_ours_false_false_false_false_false_true_true_false_small,0.0321,0.0395,0.0412,0.0397,0.0433,0.0423
path_ours_false_false_false_false_false_true_true_true_large,0.00836,0.00989,0.0112,0.00807,0.0174,0.0187
path_ours_false_false_false_false_false_true_true_true_small,0.0377,0.0391,0.0516,0.0408,0.0433,0.0404
path_ours_true_true_false_false_false_true_false_false_none,0.0343,0.0349,0.043,0.0415,0.0421,0.0968
path_ours_true_true_true_true_false_true_false_false_none,0.00764,0.007,,,,
subpath_benchmark_false_false_false_false_false_true_false_false_none,0.0618,0.059,0.0576,0.067,0.0648,0.0672
subpath_benchmark_false_false_false_false_false_true_true_false_large,0.00791,0.0106,0.00831,0.00707,0.0141,0.00954
subpath_benchmark_false_false_false_false_false_true_true_false_small,0.0354,0.0317,0.0517,0.0406,0.0364,0.037
subpath_benchmark_false_false_false_false_false_true_true_true_large,0.00774,0.00961,0.00792,0.00916,-0.00611,0.0166
subpath_benchmark_false_false_false_false_false_true_true_true_small,0.034,0.0401,0.0477,0.0438,0.038,0.0341
subpath_benchmark_false_false_true_true_false_false_false_false_none,0.00839,0.0108,,,,
subpath_benchmark_false_false_true_true_true_false_false_false_none,0.00662,0.00957,,,,
subpath_ours_false_false_false_false_false_true_false_false_none,0.0439,0.0421,0.066,0.0649,0.0693,0.0794
subpath_ours_false_false_false_false_false_true_true_false_large,0.0111,0.0113,0.00732,0.00908,0.0134,0.0103
subpath_ours_false_false_false_false_false_true_true_false_small,0.0432,0.0413,0.0429,0.0375,0.0404,0.0479
subpath_ours_false_false_false_false_false_true_true_true_large,0.0093,0.0104,0.00749,0.00775,0.0177,0.157
subpath_ours_false_false_false_false_false_true_true_true_small,0.0362,0.0365,0.0426,0.0343,0.045,0.0344
subpath_ours_true_true_false_false_false_true_false_false_none,0.0394,0.0399,0.0464,0.0441,0.0482,0.0941
subpath_ours_true_true_false_false_true_true_false_false_none,0.0432,0.0358,0.0418,0.0429,0.0362,0.0368
subpath_ours_true_true_true_true_false_true_false_false_none,0.00769,0.0114,,,,
subpath_ours_true_true_true_true_true_true_false_false_none,0.00794,0.00898,,,,
