methodname,4_7_20_8_40000_15000,4_7_20_8_50000_15000,4_7_20_8_60000_15000,4_7_20_8_70000_15000,4_7_20_8_80000_15000
path_benchmark_false_false_false_false_false_true_false_false_none,1.0618920766862894,1.0752815528836903,1.0891712888316678,1.0939300703872088,1.0961532416794646
path_benchmark_false_false_false_false_false_true_true_false_large,NaN,NaN,NaN,NaN,NaN
path_benchmark_false_false_false_false_false_true_true_false_small,NaN,NaN,NaN,NaN,NaN
path_benchmark_false_false_false_false_false_true_true_true_large,1.0275545576156917,1.0327860423371962,1.0365151494581697,1.065534438113341,1.1170105419432959
path_benchmark_false_false_false_false_false_true_true_true_small,1.0394846786421383,1.0766049407081042,1.0680557462312494,1.0677856375995165,1.079323442843334
path_benchmark_false_false_true_true_false_false_false_false_none,1.0253171900939995,1.0514714331143926,1.0654313870414351,NaN,NaN
path_ours_false_false_false_false_false_true_false_false_none,1.0650864448727944,1.078985190512158,1.0985065144514703,1.1003781635980148,1.1098547357397304
path_ours_false_false_false_false_false_true_true_false_large,1.0261297112114465,1.032291043319937,1.0361357957279593,1.0363163389792538,1.0396649532565863
path_ours_false_false_false_false_false_true_true_false_small,1.041619067903466,1.073597583453443,1.076595155216355,1.0858327714725748,1.0939037366444506
path_ours_false_false_false_false_false_true_true_true_large,1.0258386266586246,1.032006900942245,1.036542380754462,1.0535022502102787,1.0419546657731165
path_ours_false_false_false_false_false_true_true_true_small,1.0486966570455816,1.0735264124486974,1.0687923490641666,1.076966064092964,1.07911781200163
path_ours_true_true_false_false_false_true_false_false_none,1.0417666360996702,1.0598163582261972,1.0828459653639195,1.090071813192168,1.0815155865587758
path_ours_true_true_true_true_false_true_false_false_none,1.0256412099304943,1.0311628069945684,1.0507306007367723,1.075550544799378,1.0939531772008095
subpath_benchmark_false_false_false_false_false_true_false_false_none,1.0709854392091385,1.0829623391424217,1.0926655623934902,1.098705956692824,1.1030335836356597
subpath_benchmark_false_false_false_false_false_true_true_false_large,NaN,NaN,NaN,NaN,NaN
subpath_benchmark_false_false_false_false_false_true_true_false_small,NaN,NaN,NaN,NaN,NaN
subpath_benchmark_false_false_false_false_false_true_true_true_large,1.0251002581702209,1.0340292934398083,1.0366021913033538,1.0574100885235143,1.090023504798941
subpath_benchmark_false_false_false_false_false_true_true_true_small,1.0388979378435717,1.0641510171960964,1.0725000942288,1.081403886328696,1.0827430515306338
subpath_benchmark_false_false_true_true_false_false_false_false_none,1.0277148221006611,1.1194550093373066,1.1086833010846278,1.0729413174173723,NaN
subpath_benchmark_false_false_true_true_true_false_false_false_none,1.0245712311961737,1.0323716339702564,1.037447655018509,1.0369718559880408,1.0381704443060014
subpath_ours_false_false_false_false_false_true_false_false_none,1.0532943960716898,1.06664530376043,1.1031826333646404,1.103828541518392,1.1208680317085293
subpath_ours_false_false_false_false_false_true_true_false_large,1.0276306257962093,1.03171829680772,1.0361360222693183,1.0367672641811472,1.0383265503574095
subpath_ours_false_false_false_false_false_true_true_false_small,1.054297286418977,1.0831892287684528,1.0922610018948975,1.0860370663284384,1.0825114912658031
subpath_ours_false_false_false_false_false_true_true_true_large,1.0260403606931914,1.032920871286524,1.0693941054255443,1.1310562130873998,1.1861619383443147
subpath_ours_false_false_false_false_false_true_true_true_small,1.0471972010237702,1.0799196567432177,1.0835493641780052,1.0792813137981372,1.0885338024412514
subpath_ours_true_true_false_false_false_true_false_false_none,1.04775604628073,1.0731495180714525,1.0868839158502934,1.0790901550938996,1.0856425356108215
subpath_ours_true_true_false_false_true_true_false_false_none,1.0520605558767362,1.07114181951865,1.0870974293166629,1.0899561173405408,1.0892272171782458
subpath_ours_true_true_true_true_false_true_false_false_none,1.0248410319907453,1.0486987830073424,1.1248639364271935,1.123026527534872,1.1181480495478995
subpath_ours_true_true_true_true_true_true_false_false_none,1.0259562984699369,1.032991895537045,1.037162096663847,1.038562974250093,1.0418601663276574
